"bonus","chain","co_owned","date","empft","emppt","firstinc","hrsopen","inctime","meals","ncalls","nmgrs","nregs","nregs11","observation","open","pctaff","pentree","pfry","psoda","region","sheet","special","state","status","type","wage_st","emptot","pct_fte","time","treated"
"no","bk","yes",NA,10,20,0.52,16,52,"reduced price meals",1,3,3,2,"February 1992",7,0,1.08,1.02,1.1,"northj",170,NA,"New Jersey",NA,NA,5,23,43.4782608695652,0,1
"no","roys","no",NA,4,20,0.52,15,26,"reduced price meals",0,3,4,3,"February 1992",7,2,1.06,1.09,1.12,"northj",187,NA,"New Jersey",NA,NA,5.62,17,23.5294117647059,0,1
"yes","roys","yes",NA,5,42,0.12,16,26,"reduced price meals",0,4,5,NA,"February 1992",6,NA,1.06,1.07,1.02,"northj",190,NA,"New Jersey",NA,NA,5,30,16.6666666666667,0,1
"no","wendys","yes",NA,8,19,0.2,11.5,26,"reduced price meals",0,4,2,2,"February 1992",10.5,NA,1.06,0.85,0.95,"northj",196,NA,"New Jersey",NA,NA,5,21.5,37.2093023255814,0,1
"no","bk","no",NA,23,10,0.25,17,26,"reduced price meals",0,4,3,2,"February 1992",7,50,0.89,0.89,0.99,"northj",197,NA,"New Jersey",NA,NA,5,32,71.875,0,1
"no","bk","no",NA,0,10,NA,16,26,"reduced price meals",2,3,2,2,"February 1992",7,0,0.49,NA,1.12,"northj",234,NA,"New Jersey",NA,NA,5,8,0,0,1
"no","roys","yes",NA,15,35,0.25,17,26,"reduced price meals",0,3,6,4,"February 1992",6,20,1.06,1.02,1.18,"northj",240,NA,"New Jersey",NA,NA,5.1,35.5,42.2535211267606,0,1
"yes","roys","no",NA,15,25,0.37,16,13,"reduced price meals",2,4,5,5,"February 1992",7,30,1.06,1.02,1.12,"northj",241,NA,"New Jersey",NA,NA,5,31.5,47.6190476190476,0,1
"yes","roys","yes",NA,25,10,0.25,17,13,"reduced price meals",0,3,5,4,"February 1992",6,0,1.06,1.02,1.1,"northj",242,NA,"New Jersey",NA,NA,5.25,33,75.7575757575758,0,1
"no","roys","no",NA,15,8,NA,13.5,NA,"free meals",3,3,4,2,"February 1992",8.5,0,1.02,1.02,1.2,"northj",245,NA,"New Jersey",NA,NA,5.5,22,68.1818181818182,0,1
"no","bk","no",NA,13,12,0.25,14.5,4,"reduced price meals",0,4,3,3,"February 1992",7.5,50,0.85,0.85,1.02,"southj",259,NA,"New Jersey",NA,NA,5,23,56.5217391304348,0,1
"yes","bk","yes",NA,10,18,0.17,15,26,"reduced price meals",1,4,5,4,"February 1992",7,0,0.85,0.85,1.02,"southj",268,NA,"New Jersey",NA,NA,5,23,43.4782608695652,0,1
"no","kfc","yes",NA,0,13,0.1,11,13,"reduced price meals",3,2,4,2,"February 1992",11,38,2.34,0.79,1.02,"southj",271,NA,"New Jersey",NA,NA,5,8.5,0,0,1
"no","kfc","yes",NA,4,11,0.2,11,4,"free meals",4,3,4,2,"February 1992",11,0,2.34,0.74,0.95,"southj",272,NA,"New Jersey",NA,NA,5.05,12.5,32,0,1
"no","kfc","yes",NA,0,15,0.12,10,26,"reduced price meals",0,2,4,3,"February 1992",11,27,2.34,0.74,0.91,"southj",274,NA,"New Jersey",NA,NA,5.5,9.5,0,0,1
"no","kfc","yes",NA,5,10,0.25,10.5,26,"reduced price meals",3,3,4,3,"February 1992",11,0,2.19,0.74,0.95,"southj",276,NA,"New Jersey",NA,NA,5,13,38.4615384615385,0,1
"no","bk","yes",NA,5,16,0.25,16,26,"reduced price meals",0,4,3,3,"February 1992",7,50,1.01,0.95,1.06,"northj",296,NA,"New Jersey",NA,NA,5.3,17,29.4117647058824,0,1
"no","kfc","yes",NA,3,8,NA,11.5,26,"free meals",0,2,3,2,"February 1992",10.5,0,2.34,0.85,1.06,"northj",299,NA,"New Jersey",NA,NA,5,9,33.3333333333333,0,1
"yes","kfc","yes",NA,8,12,0.36,10.5,11,"both free and reduced price meals",4,5,3,1,"February 1992",11,0,2.34,0.85,1.06,"northj",301,NA,"New Jersey",NA,NA,5,19,42.1052631578947,0,1
"yes","kfc","no",NA,5,9,0.12,12,13,"reduced price meals",0,2,4,4,"February 1992",11,0,2.45,0.8,1.12,"southj",320,NA,"New Jersey",NA,NA,5,11.5,43.4782608695652,0,1
"no","kfc","no",NA,3,14,0.25,12.5,NA,"reduced price meals",0,3,4,2,"February 1992",10.5,10,2.45,0.85,1.12,"southj",321,NA,"New Jersey",NA,NA,5,13,23.0769230769231,0,1
"no","roys","no",NA,20,46,0.2,24,26,"reduced price meals",2,5,5,2,"February 1992",0,0,NA,1.06,1.18,"southj",324,NA,"New Jersey",NA,NA,5.25,48,41.6666666666667,0,1
"no","roys","yes",NA,18,45,0.15,24,11,"reduced price meals",3,5,4,3,"February 1992",0,7,NA,0.99,1.26,"southj",326,NA,"New Jersey",NA,NA,5.15,45.5,39.5604395604396,0,1
"yes","wendys","no",NA,4,16,0.12,15.5,13,"free meals",0,3,2,2,"February 1992",10.5,0,0.95,0.86,1.01,"southj",330,NA,"New Jersey",NA,NA,5.42,15,26.6666666666667,0,1
"no","bk","no",NA,10,10,0.17,12.5,4,"both free and reduced price meals",0,3,3,3,"February 1992",9,0,0.91,0.91,0.91,"southj",334,NA,"New Jersey",NA,NA,5,18,55.5555555555556,0,1
"no","roys","yes",NA,2.5,27,0.15,16,6,"reduced price meals",1,5,3,3,"February 1992",6,10,0.95,0.91,1.12,"southj",349,NA,"New Jersey",NA,NA,5,21,11.9047619047619,0,1
"yes","wendys","no",NA,14,7,0.25,10.5,4,"free meals",3,3,2,2,"February 1992",10.5,10,0.95,0.86,0.95,"southj",354,NA,"New Jersey",NA,NA,5.06,20.5,68.2926829268293,0,1
"yes","wendys","no",NA,11.5,10,NA,11.5,13,"free meals",3,4,2,2,"February 1992",10.5,0,1.06,0.8,0.95,"southj",356,NA,"New Jersey",NA,NA,5.05,20.5,56.0975609756098,0,1
"no","wendys","no",NA,4.5,20,0.2,11.5,16,"free meals",1,3,2,2,"February 1992",10.5,100,0.95,0.86,0.95,"northj",357,NA,"New Jersey",NA,NA,5,17.5,25.7142857142857,0,1
"no","bk","no",NA,12,23,0.15,16,13,"reduced price meals",0,4,3,3,"February 1992",7,100,0.95,1.02,1.06,"northj",371,NA,"New Jersey",NA,NA,5,27.5,43.6363636363636,0,1
"no","bk","yes",NA,14,12,0.25,15.5,4,"reduced price meals",0,4,6,3,"February 1992",6.5,100,1.03,0.95,1.01,"northj",373,NA,"New Jersey",NA,NA,5,24,58.3333333333333,0,1
"yes","bk","no",NA,25,10,0.25,15,26,"free meals",3,4,4,2,"February 1992",7,0,NA,0.8,1.02,"northj",375,NA,"New Jersey",NA,NA,5.25,34,73.5294117647059,0,1
"no","bk","yes",NA,10,8,0.1,18.5,52,"reduced price meals",4,4,5,5,"February 1992",6.5,NA,1.1,0.96,1.1,"northj",378,NA,"New Jersey",NA,NA,5,18,55.5555555555556,0,1
"yes","bk","no",NA,10,20,0.5,16.5,13,"reduced price meals",0,4,4,2,"February 1992",6.5,0,1.1,1.17,1.27,"northj",381,NA,"New Jersey",NA,NA,5,24,41.6666666666667,0,1
"no","roys","yes",NA,13,31,0.15,18,26,"reduced price meals",2,NA,5,4,"February 1992",6,10,1.06,1.12,1.09,"northj",403,NA,"New Jersey",NA,NA,5.05,NA,NA,0,1
"no","wendys","yes",NA,12,35,0.32,11.5,NA,"free meals",0,4,2,2,"February 1992",10.5,0,2.14,NA,1.02,"northj",406,NA,"New Jersey",NA,NA,5,33.5,35.8208955223881,0,1
"yes","wendys","yes",NA,5,10,0.15,10.5,26,"reduced price meals",2,2,1,1,"February 1992",11,0,1.38,1.17,1.17,"northj",408,NA,"New Jersey",NA,NA,5.75,12,41.6666666666667,0,1
"no","bk","no",NA,3,60,NA,15,39,"free meals",0,2,3,3,"February 1992",7,0,0.95,0.87,1.19,"northj",409,NA,"New Jersey",NA,NA,5,35,8.57142857142857,0,1
"no","bk","no",NA,16,30,0.25,16,NA,"both free and reduced price meals",0,4,4,3,"February 1992",7,80,0.85,0.83,0.93,"centralj",1,NA,"New Jersey",NA,NA,4.5,35,45.7142857142857,0,1
"yes","bk","no",NA,10,6,0.5,14,26,"free meals",0,3,2,2,"February 1992",7,80,0.96,0.91,1.06,"centralj",2,NA,"New Jersey",NA,NA,4.75,16,62.5,0,1
"yes","kfc","no",NA,6,13,0.25,10,13,"reduced price meals",3,3,5,3,"February 1992",11,50,3.09,0.95,1.06,"centralj",3,NA,"New Jersey",NA,NA,4.25,15.5,38.7096774193548,0,1
"no","roys","no",NA,10,12,0.25,12.5,4,"reduced price meals",0,3,8,4,"February 1992",9,50,2.13,1,1.06,"centralj",4,NA,"New Jersey",NA,NA,4.75,19,52.6315789473684,0,1
"no","roys","no",NA,5,30,0.17,17,13,"free meals",0,4,5,4,"February 1992",6,NA,2.13,NA,0.95,"centralj",5,NA,"New Jersey",NA,NA,4.5,24,20.8333333333333,0,1
"no","wendys","no",NA,NA,25,0.15,12,NA,"free meals",0,4,2,1,"February 1992",10.5,NA,2.28,0.91,1.02,"centralj",8,NA,"New Jersey",NA,NA,4.8,NA,NA,0,1
"no","bk","no",NA,12,40,0.15,16,26,"reduced price meals",2,4,4,4,"February 1992",7,35,0.85,0.67,1.04,"centralj",9,NA,"New Jersey",NA,NA,4.37,36,33.3333333333333,0,1
"no","bk","no",NA,15,20,0.17,16,39,"reduced price meals",0,4,3,3,"February 1992",7,80,0.85,0.85,1.04,"centralj",10,NA,"New Jersey",NA,NA,4.25,29,51.7241379310345,0,1
"no","bk","no",NA,10,30,0.1,16,26,"reduced price meals",2,4,3,3,"February 1992",7,80,0.91,0.89,1.09,"centralj",11,NA,"New Jersey",NA,NA,4.25,29,34.4827586206897,0,1
"no","bk","no",NA,6.5,23.5,0.1,16,9,"reduced price meals",0,3,3,3,"February 1992",7,100,0.91,0.79,1.05,"centralj",12,NA,"New Jersey",NA,NA,4.37,21.25,30.5882352941176,0,1
"no","kfc","no",NA,0,25,0.25,10,7,"reduced price meals",0,3,5,4,"February 1992",11,100,2.66,0.95,1.06,"centralj",13,NA,"New Jersey",NA,NA,4.5,15.5,0,0,1
"yes","roys","no",NA,3,25,0.15,17,9,"reduced price meals",3,4,5,4,"February 1992",6,95,0.95,0.98,1.02,"centralj",15,NA,"New Jersey",NA,NA,4.6,19.5,15.3846153846154,0,1
"no","roys","no",NA,6,22,0.25,17,13,"reduced price meals",0,4,5,5,"February 1992",6,50,NA,1,1,"centralj",16,NA,"New Jersey",NA,NA,4.5,21,28.5714285714286,0,1
"no","roys","no",NA,0,20,0.25,17,13,"reduced price meals",0,4,6,5,"February 1992",6,60,2.02,1,1.06,"centralj",17,NA,"New Jersey",NA,NA,4.37,14,0,0,1
"no","roys","no",NA,15,25,NA,17,13,"reduced price meals",2,3,4,4,"February 1992",6,50,NA,NA,NA,"centralj",18,NA,"New Jersey",NA,NA,4.25,30.5,49.1803278688525,0,1
"no","bk","no",NA,4,31,0.25,16,4,"reduced price meals",3,4,3,3,"February 1992",6,50,0.93,0.91,1.05,"southj",19,NA,"New Jersey",NA,NA,4.25,23.5,17.0212765957447,0,1
"no","kfc","no",NA,5,12,0.1,10.5,6,"reduced price meals",0,3,3,3,"February 1992",10.5,90,2.13,0.8,1.06,"southj",21,NA,"New Jersey",NA,NA,4.45,14,35.7142857142857,0,1
"no","roys","no",NA,3,15,0.12,16,26,"reduced price meals",2,4,4,1,"February 1992",7,90,0.95,0.84,1.06,"southj",22,NA,"New Jersey",NA,NA,4.35,14.5,20.6896551724138,0,1
"no","bk","no",NA,0,25,0.12,16,26,"reduced price meals",2,3,3,2,"February 1992",7,75,0.95,0.95,1.06,"northj",23,NA,"New Jersey",NA,NA,4.5,15.5,0,0,1
"yes","bk","no",NA,15,15,0.25,16,13,"reduced price meals",2,4,4,3,"February 1992",7,40,1.01,0.95,1.06,"centralj",24,NA,"New Jersey",NA,NA,4.75,26.5,56.6037735849057,0,1
"no","kfc","no",NA,0,14,0.25,10,NA,"reduced price meals",6,1,2,1,"February 1992",11,10,2.56,1.17,1.06,"northj",28,NA,"New Jersey",NA,NA,4.5,8,0,0,1
"no","kfc","no",NA,0,7,0.25,11,4,"reduced price meals",3,2,3,2,"February 1992",11,NA,2.56,1.01,1.06,"northj",29,NA,"New Jersey",NA,NA,4.5,5.5,0,0,1
"no","roys","no",NA,10,20.5,0.25,11.5,26,"reduced price meals",0,3,4,3,"February 1992",10.5,40,1.06,1.02,1.12,"northj",32,NA,"New Jersey",NA,NA,4.5,23.25,43.010752688172,0,1
"no","roys","yes",NA,5,15,NA,11.5,26,"reduced price meals",0,3,5,3,"February 1992",10.5,75,1.06,1.02,1.12,"northj",34,NA,"New Jersey",NA,NA,4.95,15.5,32.258064516129,0,1
"yes","wendys","no",NA,25,6.5,0.25,11.5,9,"reduced price meals",2,4,2,2,"February 1992",10.5,NA,2.13,0.95,0.96,"northj",35,NA,"New Jersey",NA,NA,4.5,32.25,77.5193798449613,0,1
"no","bk","no",NA,15,20,0.15,17,17,"reduced price meals",0,5,3,2,"February 1992",6,100,0.98,0.95,1.05,"centralj",38,NA,"New Jersey",NA,NA,4.25,30,50,0,1
"no","bk","yes",NA,26,6,NA,18,26,"reduced price meals",1,NA,4,3,"February 1992",6,75,1.17,0.97,1.1,"northj",63,NA,"New Jersey",NA,NA,4.25,NA,NA,0,1
"no","bk","no",NA,20,15,0.2,16,26,"both free and reduced price meals",1,3,3,2,"February 1992",7,60,0.95,0.95,1.06,"northj",64,NA,"New Jersey",NA,NA,4.5,30.5,65.5737704918033,0,1
"no","bk","no",NA,0,20,0.25,15.5,52,"reduced price meals",5,4,3,3,"February 1992",6.5,90,1.11,0.85,1.06,"northj",65,NA,"New Jersey",NA,NA,4.8,14,0,0,1
"no","bk","no",NA,15,18,0.15,17,26,"reduced price meals",0,3,3,2,"February 1992",7,20,0.95,0.95,1.06,"northj",66,NA,"New Jersey",NA,NA,4.25,27,55.5555555555556,0,1
"no","bk","no",NA,5,15,0.25,13.5,13,"free meals",0,6,3,2,"February 1992",8,55,1.17,1.06,1.17,"northj",67,NA,"New Jersey",NA,NA,4.5,18.5,27.027027027027,0,1
"no","bk","no",NA,30,10,0.05,17,14,"both free and reduced price meals",1,3,3,3,"February 1992",7,NA,1.02,1.02,1.07,"northj",68,NA,"New Jersey",NA,NA,4.25,38,78.9473684210526,0,1
"no","bk","no",NA,0,27,0.22,18,13,"reduced price meals",0,3,4,2,"February 1992",7,100,0.95,0.95,1.17,"northj",69,NA,"New Jersey",NA,NA,4.25,16.5,0,0,1
"no","bk","no",NA,35,20,0.27,16,13,"free meals",0,5,3,3,"February 1992",7,50,1.02,0.95,1.06,"northj",70,NA,"New Jersey",NA,NA,4.5,50,70,0,1
"no","bk","no",NA,0,35,0.25,17,13,"both free and reduced price meals",1,3,3,2,"February 1992",7,100,0.95,0.95,1.06,"northj",71,NA,"New Jersey",NA,NA,4.75,20.5,0,0,1
"no","kfc","no",NA,0,7,0.75,12,NA,"both free and reduced price meals",1,3,3,2,"February 1992",11,40,2.45,1.06,1.06,"northj",73,NA,"New Jersey",NA,NA,4.25,6.5,0,0,1
"no","kfc","no",NA,3,15,0.25,11,4,"reduced price meals",0,3,3,3,"February 1992",11,0,2.77,1.27,1.17,"northj",75,NA,"New Jersey",NA,NA,4.25,13.5,22.2222222222222,0,1
"no","roys","yes",NA,8,32,0.2,17,26,"reduced price meals",0,4,6,3,"February 1992",6,50,1.02,1.02,1.12,"northj",76,NA,"New Jersey",NA,NA,4.25,28,28.5714285714286,0,1
"no","roys","yes",NA,6,25,0.15,17,26,"reduced price meals",4,3,5,4,"February 1992",6,30,1.06,1.02,1.17,"northj",79,NA,"New Jersey",NA,NA,4.5,21.5,27.906976744186,0,1
"no","wendys","no",NA,4.5,20,0.25,11.5,26,"reduced price meals",1,NA,2,2,"February 1992",10.5,90,1.06,0.98,1.06,"northj",80,NA,"New Jersey",NA,NA,4.25,NA,NA,0,1
"no","bk","no",NA,4,30,0.15,16,26,"reduced price meals",3,5,4,2,"February 1992",7,50,0.91,0.85,1.04,"centralj",84,NA,"New Jersey",NA,NA,4.5,24,16.6666666666667,0,1
"no","bk","no",NA,11,11,0.25,15,13,"both free and reduced price meals",1,4,3,3,"February 1992",7,NA,1.1,0.94,1.06,"centralj",86,NA,"New Jersey",NA,NA,4.25,20.5,53.6585365853659,0,1
"no","bk","no",NA,0,15,NA,15,26,"reduced price meals",0,NA,3,3,"February 1992",7,NA,1.02,0.86,1.06,"centralj",87,NA,"New Jersey",NA,NA,4.5,NA,NA,0,1
"yes","bk","no",NA,3,35,NA,15,NA,"both free and reduced price meals",0,3,5,5,"February 1992",7,75,0.91,0.87,1.06,"southj",88,NA,"New Jersey",NA,NA,4.25,23.5,12.7659574468085,0,1
"no","bk","yes",NA,8,22,0.15,17,8,"reduced price meals",2,4,3,3,"February 1992",7,100,1.04,0.93,1.09,"centralj",91,NA,"New Jersey",NA,NA,4.25,23,34.7826086956522,0,1
"no","bk","yes",NA,4,18,0.75,15,13,"reduced price meals",0,4,3,3,"February 1992",7,100,1.03,0.95,1.09,"centralj",92,NA,"New Jersey",NA,NA,4.25,17,23.5294117647059,0,1
"no","bk","yes",NA,2.5,30,0.15,16,52,"reduced price meals",0,3,NA,NA,"February 1992",7,90,0.96,NA,NA,"northj",93,NA,"New Jersey",NA,NA,4.25,20.5,12.1951219512195,0,1
"no","kfc","no",NA,18,3,0.27,10,26,"free meals",1,4,4,3,"February 1992",11,40,2.56,0.8,1.06,"centralj",95,NA,"New Jersey",NA,NA,4.25,23.5,76.5957446808511,0,1
"no","kfc","no",NA,0,15,0.12,10,26,"reduced price meals",2,2,3,2,"February 1992",11.5,80,2.66,1.01,1.06,"northj",96,NA,"New Jersey",NA,NA,4.25,9.5,0,0,1
"yes","kfc","no",NA,0,12,0.25,10,13,"reduced price meals",2,4,3,2,"February 1992",11,58,2.56,0.75,1.02,"centralj",97,NA,"New Jersey",NA,NA,4.25,10,0,0,1
"no","kfc","no",NA,0,20,0.4,10,13,"both free and reduced price meals",0,4,3,3,"February 1992",11,80,2.56,0.8,1.06,"centralj",98,NA,"New Jersey",NA,NA,4.25,14,0,0,1
"no","roys","yes",NA,60,40,0.15,24,26,"reduced price meals",0,5,8,6,"February 1992",0,50,2.3,NA,1.23,"centralj",99,NA,"New Jersey",NA,NA,4.75,85,70.5882352941177,0,1
"no","roys","no",NA,4.5,15,0.15,15,26,"reduced price meals",3,3,6,4,"February 1992",7,80,1.06,1.18,1.2,"centralj",101,NA,"New Jersey",NA,NA,4.75,15,30,0,1
"no","roys","no",NA,12,13,0.2,16,52,"reduced price meals",2,3,6,4,"February 1992",7,15,1.07,0.91,1.06,"southj",102,NA,"New Jersey",NA,NA,4.4,21.5,55.8139534883721,0,1
"yes","wendys","no",NA,40,20,0.32,11.5,4,"reduced price meals",0,3,2,2,"February 1992",10.5,50,0.94,0.84,0.95,"centralj",104,NA,"New Jersey",NA,NA,4.62,53,75.4716981132076,0,1
"no","bk","no",NA,0,40,NA,16.5,10,"reduced price meals",2,4,4,2,"February 1992",6.5,50,1.03,1,0.96,"northj",105,NA,"New Jersey",NA,NA,4.25,24,0,0,1
"no","bk","no",NA,0,35,0.27,16,26,"both free and reduced price meals",0,3,2,1,"February 1992",7,65,0.95,0.95,1.06,"northj",106,NA,"New Jersey",NA,NA,4.25,20.5,0,0,1
"no","bk","yes",NA,6,11,0.32,14.5,8,"free meals",0,3,3,3,"February 1992",8,40,0.95,0.95,1.17,"northj",107,NA,"New Jersey",NA,NA,4.25,14.5,41.3793103448276,0,1
"yes","bk","no",NA,13.5,15,0.37,17,26,"free meals",2,4,3,3,"February 1992",7,6,1.06,1.01,1.27,"northj",108,NA,"New Jersey",NA,NA,4.25,25,54,0,1
"no","roys","no",NA,17,14,0.42,16,2,"both free and reduced price meals",0,3,5,5,"February 1992",7,55,1.01,1.06,1.17,"northj",111,NA,"New Jersey",NA,NA,4.25,27,62.962962962963,0,1
"yes","bk","no",NA,0,35,0.57,16,26,"reduced price meals",2,5,3,NA,"February 1992",7,50,0.95,0.95,1.07,"centralj",114,NA,"New Jersey",NA,NA,4.75,22.5,0,0,1
"no","bk","no",NA,20,25,0.3,17,4,"free meals",0,4,4,3,"February 1992",7,25,1.06,0.95,1.06,"centralj",115,NA,"New Jersey",NA,NA,4.75,36.5,54.7945205479452,0,1
"no","bk","no",NA,4,22.5,0.37,13,18,"reduced price meals",0,2,7,3,"February 1992",8.5,90,1.11,1.02,1.49,"centralj",116,NA,"New Jersey",NA,NA,4.25,17.25,23.1884057971014,0,1
"no","bk","no",NA,10,15,0.15,15,26,"reduced price meals",3,4,4,2,"February 1992",7,70,1.01,0.95,1.06,"northj",118,NA,"New Jersey",NA,NA,4.25,21.5,46.5116279069767,0,1
"yes","bk","no",NA,12,19,0.27,16.5,13,"both free and reduced price meals",2,3,3,3,"February 1992",6.5,50,0.95,0.91,1.06,"northj",119,NA,"New Jersey",NA,NA,4.75,24.5,48.9795918367347,0,1
"no","bk","yes",NA,0,32,NA,16,NA,"reduced price meals",3,3,3,2,"February 1992",7,NA,1.04,0.98,1.13,"centralj",120,NA,"New Jersey",NA,NA,4.5,19,0,0,1
"no","bk","no",NA,1,38,0.2,12.5,4,"free meals",0,5,5,3,"February 1992",9,70,1.12,1.12,NA,"northj",122,NA,"New Jersey",NA,NA,4.25,25,4,0,1
"no","bk","no",NA,8,10,0.25,15,13,"reduced price meals",1,3,2,2,"February 1992",8,14,1.04,0.91,1.06,"centralj",124,NA,"New Jersey",NA,NA,4.25,16,50,0,1
"no","kfc","no",NA,15,0,0.25,12.5,26,"free meals",0,4,3,2,"February 1992",10,100,2.34,0.85,0.91,"centralj",125,NA,"New Jersey",NA,NA,4.5,19,78.9473684210526,0,1
"no","roys","yes",NA,7,25.5,0.3,18,19,"reduced price meals",2,3,4,3,"February 1992",5,15,1,1.07,1.12,"centralj",130,NA,"New Jersey",NA,NA,4.5,22.75,30.7692307692308,0,1
"no","roys","yes",NA,20,20,0.25,24,26,"reduced price meals",0,5,5,3,"February 1992",0,80,2.3,1.06,1.28,"centralj",132,NA,"New Jersey",NA,NA,4.5,35,57.1428571428571,0,1
"no","roys","yes",NA,6,16,NA,17,26,"reduced price meals",0,2,4,3,"February 1992",6,99,1.06,1.07,1.12,"centralj",133,NA,"New Jersey",NA,NA,4.75,16,37.5,0,1
"no","roys","no",NA,5.5,25,NA,16,NA,"reduced price meals",2,3,4,3,"February 1992",6,42,0.95,NA,1.09,"centralj",134,NA,"New Jersey",NA,NA,4.62,21,26.1904761904762,0,1
"no","roys","yes",NA,14.5,14.5,0.27,17,21,"reduced price meals",2,5,5,4,"February 1992",6,5,1.1,1.07,1.12,"centralj",136,NA,"New Jersey",NA,NA,4.25,26.75,54.2056074766355,0,1
"no","roys","yes",NA,15,25,0.15,16,26,"reduced price meals",3,3,6,4,"February 1992",6,50,1.02,1.06,1.12,"northj",137,NA,"New Jersey",NA,NA,4.25,30.5,49.1803278688525,0,1
"yes","wendys","no",NA,0,40,0.37,11.5,26,"reduced price meals",0,3,2,2,"February 1992",10.5,25,1.06,0.86,0.91,"centralj",140,NA,"New Jersey",NA,NA,4.5,23,0,0,1
"yes","wendys","no",NA,10,15,0.27,12.5,13,"reduced price meals",0,4,2,2,"February 1992",10.5,NA,1.06,0.91,1.02,"centralj",141,NA,"New Jersey",NA,NA,4.75,21.5,46.5116279069767,0,1
"yes","wendys","no",NA,15,35,0.15,11.5,26,"reduced price meals",0,4,2,2,"February 1992",10,NA,1.06,0.95,1.06,"northj",142,NA,"New Jersey",NA,NA,4.25,36.5,41.0958904109589,0,1
"yes","bk","no",NA,8,20,0.25,16,26,"reduced price meals",3,5,4,3,"February 1992",7,NA,1.06,1,1.06,"northj",146,NA,"New Jersey",NA,NA,4.8,23,34.7826086956522,0,1
"no","bk","no",NA,0,20,0.27,16,26,"both free and reduced price meals",1,4,2,1,"February 1992",7,50,0.95,0.95,1.06,"northj",149,NA,"New Jersey",NA,NA,4.5,14,0,0,1
"yes","bk","no",NA,0,27.5,0.27,16,26,"reduced price meals",2,3.5,3,3,"February 1992",7,2,0.89,0.89,1.23,"northj",150,NA,"New Jersey",NA,NA,4.67,17.25,0,0,1
"no","bk","no",NA,8,15,0.25,15,6,"free meals",0,3,8,3,"February 1992",7,0,1.02,0.95,1.06,"northj",156,NA,"New Jersey",NA,NA,4.87,18.5,43.2432432432432,0,1
"no","kfc","no",NA,2,7,0.12,10,4,"free meals",1,3,3,3,"February 1992",11,55,2.34,0.7,0.92,"northj",158,NA,"New Jersey",NA,NA,4.5,8.5,23.5294117647059,0,1
"no","kfc","no",NA,6,12,0.12,10.5,4,"free meals",8,2,3,3,"February 1992",10.5,22,2.34,0.85,0.98,"northj",159,NA,"New Jersey",NA,NA,4.5,14,42.8571428571429,0,1
"no","roys","yes",NA,0,40,0.17,16.5,26,"reduced price meals",2,3,NA,1,"February 1992",6,45,1.06,1.02,1.12,"northj",162,NA,"New Jersey",NA,NA,4.75,23,0,0,1
"yes","wendys","no",NA,8,32,0.25,11.5,26,"reduced price meals",0,5,2,2,"February 1992",10.5,40,1.06,0.85,0.95,"northj",166,NA,"New Jersey",NA,NA,4.75,29,27.5862068965517,0,1
"yes","bk","no",NA,5,20,0.25,15,4,"free meals",0,4,3,3,"February 1992",7,50,0.95,0.95,1.06,"northj",168,NA,"New Jersey",NA,NA,4.25,19,26.3157894736842,0,1
"no","bk","yes",NA,2,32,0.25,16,8,"reduced price meals",0,3,3,3,"February 1992",7,NA,1.04,0.95,1.09,"northj",171,NA,"New Jersey",NA,NA,4.25,21,9.52380952380952,0,1
"no","bk","no",NA,0,24,0.25,12.5,13,"free meals",0,5,5,4,"February 1992",9,0.3,1.06,1.02,1.12,"northj",172,NA,"New Jersey",NA,NA,4.75,17,0,0,1
"no","bk","no",NA,6,40,0.15,17.5,26,"reduced price meals",3,10,4,3,"February 1992",6.5,50,0.98,0.95,1.06,"northj",173,NA,"New Jersey",NA,NA,4.85,36,16.6666666666667,0,1
"no","bk","no",NA,11,20,0.15,16,26,"reduced price meals",2,4,4,3,"February 1992",7,50,0.98,0.88,1.18,"northj",174,NA,"New Jersey",NA,NA,4.75,25,44,0,1
"no","bk","no",NA,15,21,0.12,16,13,"free meals",0,4,4,4,"February 1992",7,20,1.05,NA,1.06,"northj",176,NA,"New Jersey",NA,NA,4.62,29.5,50.8474576271186,0,1
"yes","kfc","yes",NA,13,12,0.2,10,52,"free meals",0,3,3,2,"February 1992",11,96,2.34,0.85,0.91,"northj",178,NA,"New Jersey",NA,NA,4.25,22,59.0909090909091,0,1
"yes","kfc","no",NA,2,12,0.25,10.5,13,"free meals",2,3,3,3,"February 1992",10.5,90,2.34,0.91,0.91,"northj",179,NA,"New Jersey",NA,NA,4.25,11,18.1818181818182,0,1
"no","kfc","no",NA,8,3,0.25,11,26,"reduced price meals",0,4,4,2,"February 1992",11,30,2.66,1.01,1.06,"northj",180,NA,"New Jersey",NA,NA,4.5,13.5,59.2592592592593,0,1
"yes","kfc","no",NA,3,15,0.25,11,4,"reduced price meals",0,3,4,3,"February 1992",11,100,2.66,1.01,1.06,"southj",182,NA,"New Jersey",NA,NA,4.5,13.5,22.2222222222222,0,1
"no","kfc","no",NA,12,4,0.33,11,20,"both free and reduced price meals",0,4,4,3,"February 1992",11,100,2.66,1.01,1.06,"northj",183,NA,"New Jersey",NA,NA,4.62,18,66.6666666666667,0,1
"no","kfc","no",NA,2,9,0.2,10.5,13,"reduced price meals",0,3,4,4,"February 1992",11,100,2.66,1.01,1.06,"centralj",185,NA,"New Jersey",NA,NA,4.5,9.5,21.0526315789474,0,1
